product_name,category,avg_rating,avg_price,review_count,text
"CMerchants BOOK SHELF-6RACK Metal Open Book Shelf(Finish Color - BLUE, DIY(Do-It",CMerchants BOOK,4.18,799.0,100,Terrific Fabulous! Terrific purchase Terrific purchase Really Nice Wonderful Terrific Awesome Awesome Fabulous!
CMerchants Multi Organiser BLue-4 Book Shelf Metal Open Book Shelf(Finish Color ,CMerchants Multi,4.066277615673197,625.0,2399,Terrific Fabulous! Terrific purchase Terrific purchase Really Nice Wonderful Terrific Awesome Awesome Fabulous!
COMBO 4 quantity bottle cork led string lights 2 meter 20 led warm white 20 LEDs,COMBO quantity,3.66,184.0,100,Wonderful Don't waste your money Excellent Brilliant Excellent Fabulous! Good choice Good quality product Very Good Brilliant
"COSCO Kick Football - Size: 5(Pack of 1, Blue)",COSCO Kick,4.197969543147208,449.0,197,Terrific Mind-blowing purchase Must buy! Mind-blowing purchase Does the job Good Simply awesome Best in the market! Best in the market! Worth the money
CRAFTIFY High Quality 1500 W Immersion Heater Rod??(Water),CRAFTIFY High,4.109195402298851,290.0,174,Terrific purchase Delightful Terrific purchase Highly recommended Super! Wonderful Fabulous! Classy product Must buy! Fabulous!
CRAFTIFY High Quality 2000 W Immersion Heater Rod??(Water),CRAFTIFY High,3.876923076923077,290.0,65,Great product Fair Wonderful Wonderful Worth the money Great product Good quality product Terrific Terrific Worth the money
CRAFTIFY ISI Mark Spiral 2000 W Immersion Heater Rod??(Water),CRAFTIFY ISI,4.0,299.0,30,Wonderful Great product Does the job Brilliant Absolute rubbish! Wonderful Nice Awesome Terrific Mind-blowing purchase
CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 D,CREZON EXCLUSIVE,4.055555555555555,999.0,18,Wonderful Excellent Waste of money! Wonderful Mind-blowing purchase Just wow! Does the job Just wow! Must buy! Waste of money!
CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbe,CREZON Magic,3.6454849498327757,799.0,299,Mind-blowing purchase Worth the money Mind-blowing purchase Not recommended at all Delightful Terrific Highly recommended Very Good Useless product Did not meet expectations
"Candes 12 L Room/Personal Air Cooler??(White, Black, Elegant High Speed-Honey Co",Candes,3.5,3999.0,10,Super! Awesome Fair Useless product Fair Awesome Highly recommended Nice Unsatisfactory Worth the money
"Candes 60 L Room/Personal Air Cooler??(White, Black, CRETA)",Candes,4.846153846153846,8999.0,26,Great product Mind-blowing purchase Highly recommended Brilliant Classy product Must buy! Fabulous! Worth every penny Super! Great product
"Candes Florence 1200 mm Energy Saving 3 Blade Ceiling Fan(Silver Blue, Pack of 2",Candes Florence,4.032432432432432,2879.0,185,Decent product Wonderful Must buy! Utterly Disappointed Awesome Very poor Brilliant Simply awesome Absolute rubbish! Not recommended at all
"Canon EOS 3000D DSLR Camera 1 Camera Body, 18 - 55 mm Lens(Black)",Canon EOS,4.483060109289617,30999.0,1830,Must buy! Really Nice Excellent Great product Just wow! Does the job Worth the money Really Nice Good quality product Value-for-money
Canon PG 745S Black Ink Cartridge,Canon,2.98,615.0,100,Really Nice A good product Terrible product Expected a better product Moderate Highly recommended Good product if you have guts Canon black ink cartridge Met some expectations Useless product
Canon PG47 Ink Catridge,Canon Ink,4.025125628140704,669.0,199,Cannon PG47 Worth buying super product Fair Really Nice Delightful Excellent Very Less Pages Will print maximum 100 pages Stop selling this. and stop buying this.
Casewilla Mobile Stand Holder for Table with Adjustable Height |Update 2021 360 ,Casewilla Mobile,3.658333333333333,210.0,120,Wonderful Brilliant Value-for-money Delightful Moderate Worth every penny Decent product Super! Wonderful Brilliant
Catvision CSR-401HP WIFI Media Streaming Device??(Black),Catvision WIFI,3.6361581920903956,1550.0,885,Must buy! Awesome Great product Must buy! Simply awesome Mind-blowing purchase Moderate Wonderful Best in the market! Best in the market!
Catvision DD FreeDish DTH MPEG4 HD Set Top Box for 115+ FREE TV & WiFi Media Med,Catvision FreeDish,3.9361702127659575,1550.0,47,Good quality product Awesome Fabulous! Wonderful Wonderful Very Good Simply awesome Mind-blowing purchase Worst experience ever! Worst experience ever!
Catvision DD FreeDish MPEG2 SD CSR-201SP Media Streaming Device??(Black),Catvision FreeDish,4.37,899.0,100,Highly recommended Worth every penny Very Good Good quality product Brilliant Really Nice Wonderful Terrific Worth every penny Great product
Cherry Wood Rosewood (Sheesham) Solid Wood 4 Seater Dining Set(Finish Color -Tea,Cherry Wood,4.391304347826087,13999.0,23,Wonderful Moderate Worthless Great product Wonderful Worth the money Good choice Unsatisfactory Highly recommended Terrific
Chhariya Crafts Metal Krishna with Cow Standing Under Tree Plying Flute Decorati,Chhariya Crafts,4.68,298.0,100,Worth every penny Great product Fair Best in the market! Worth the money Classy product Brilliant Very Good Excellent Terrific purchase
Chipku Sticky Trap Non Toxic and Chemical Free Fly Trap/Insect Catcher/Sticky Pa,Chipku Sticky,3.5789473684210527,166.0,19,Nice product Terrible product Decent product Don't waste your money Classy product Utterly Disappointed Super! Moderate Highly recommended Awesome
