product_name,category,review_count,avg_rating,avg_price,cnt_n,rat_n,pop_score
Allwin Home Cleaning 360 Spin Floor Cleaning Easy Advance Tech Bucket PVC Mop & ,Allwin Home,86,3.686046511627907,699.0,0.00905562742561449,0.6135430916552667,0.2509
"Kindly Designer Key Holders with phone stand ,Key Hnager,Key Stand for Wall Deco",Kindly Designer,66,3.696969696969697,159.0,0.0068995256576110395,0.6167557932263814,0.2508
"StarAndDaisy Plastic Study Table(Finish Color - Pink, DIY(Do-It-Yourself))",StarAndDaisy Plastic,11,3.727272727272727,3999.0,0.0009702457956015525,0.6256684491978608,0.2508
PHILIPS by philips HL7577/00 VIVA COLLECTION 600 Juicer (Multicolor),PHILIPS philips,56,3.6964285714285716,3268.0,0.005821474773609315,0.6165966386554622,0.2501
"USHA FP 3811_ 1000 W Food Processor(Black, Silver)",USHA,100,3.67,11500.0,0.010564898663216905,0.6088235294117645,0.2499
"3D METRO SUPER STORE JUICER_Gduumy 1 Juicer,1 Handle,1 Jar,1 Glass 0 Juicer (1 J",METRO SUPER,100,3.67,417.0,0.010564898663216905,0.6088235294117645,0.2499
Casewilla Mobile Stand Holder for Table with Adjustable Height |Update 2021 360 ,Casewilla Mobile,120,3.658333333333333,210.0,0.012721000431220354,0.605392156862745,0.2498
"lectose Wood Portable Laptop Table(Finish Color - black, Pre Assembled)",lectose Wood,46,3.6956521739130435,415.0,0.00474342388960759,0.6163682864450126,0.2494
Men Slim Fit Black Cotton Blend Trousers,Men Slim,482,3.4522821576763487,499.0,0.0517464424320828,0.5447888699048085,0.249
"ZUNBELLA 3D Super Transparent Car Toy, Car Toy for Kids with 360 Degree Rotation",ZUNBELLA Super,100,3.66,315.0,0.010564898663216905,0.6058823529411765,0.2487
Men Solid Single Breasted Casual Blazer??(Blue),Men Solid,95,3.663157894736842,1836.6842105263158,0.010025873221216041,0.6068111455108358,0.2487
COMBO 4 quantity bottle cork led string lights 2 meter 20 led warm white 20 LEDs,COMBO quantity,100,3.66,184.0,0.010564898663216905,0.6058823529411765,0.2487
"Goodrik 140 TC Cotton Double 3D Printed Flat Bedsheet(Pack of 1, Brown)",Goodrik,300,3.55,229.0,0.032125916343251404,0.5735294117647058,0.2487
"CHETANYA LOOMTEX Green Polypropylene, River Grass Carpet(40 cm,  X 60 cm, Rectan",CHETANYA LOOMTEX,36,3.6944444444444446,275.0,0.0036653730056058647,0.6160130718954249,0.2486
"Adonai POT1.5LPINK Rice Cooker, Food Steamer, Travel Cooker, Slow Cooker, Electr",Adonai Rice,200,3.6,599.0,0.021345407503234153,0.588235294117647,0.2481
Prestige PWG 09 Wet Grinder with Timer??(Black),Prestige PWG,53,3.6792452830188678,5300.0,0.005498059508408797,0.611542730299667,0.2479
Spherix Plain White PVC ID Cards For InkJet Printers - Set of 230 Single Color I,Spherix Plain,10,3.7,999.0,0.00086244070720138,0.6176470588235294,0.2476
Men Self Design Single Breasted Casual Blazer??(Brown),Men Self,10,3.7,3479.0,0.00086244070720138,0.6176470588235294,0.2476
Inalsa Wonder Maxie Plus 700 W Food Processor(White),Inalsa Wonder,10,3.7,5919.0,0.00086244070720138,0.6176470588235294,0.2476
Pack of 3 Solid Men Multicolor Bermuda Shorts,Pack,173,3.601156069364162,395.0,0.018434670116429495,0.588575314518871,0.2465
Men Graphic Print Round Neck White T-Shirt,Men Graphic,319,3.520376175548589,269.0,0.03417421302285468,0.5648165222201733,0.2464
Google Nest Mini (2nd Gen) with Google Assistant with Google Assistant Smart Spe,Google Nest,200,3.585,3499.0,0.021345407503234153,0.5838235294117646,0.2463
VEDRID 10Watt LED Ceiling Down Light White Round (Pack of 12) Recessed Ceiling L,VEDRID LED,22,3.6818181818181817,899.0,0.00215610176800345,0.6122994652406415,0.2462
